City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
434,Piacabucu,BR,-10.4056,-36.4344,77.23,87,6,8.28,clear sky,2022-04-14 02:55:07
435,Sindor,RU,62.8629,51.8905,32.2,91,100,10.16,light snow,2022-04-14 02:59:48
436,Fillmore,US,43.6666,-92.1002,37.35,80,0,12.66,clear sky,2022-04-14 02:58:27
437,Jackson,US,42.4165,-122.8345,41.72,92,100,1.99,overcast clouds,2022-04-14 02:57:57
438,Prado,BR,-17.3411,-39.2208,76.39,89,36,7.14,scattered clouds,2022-04-14 02:58:41
439,Manadhoo,MV,5.7667,73.3833,83.93,72,88,8.59,light rain,2022-04-14 02:59:49
440,Hambantota,LK,6.1241,81.1185,80.94,100,20,2.3,few clouds,2022-04-14 02:59:49
441,Matara,LK,5.9485,80.5353,82.71,77,84,4.41,broken clouds,2022-04-14 02:59:50
442,Pacifica,US,37.6138,-122.4869,54.23,75,100,8.99,overcast clouds,2022-04-14 02:59:50
443,Nicoya,CR,10.1483,-85.452,81.63,67,83,7.0,broken clouds,2022-04-14 02:59:51
444,Varkaus,FI,62.3153,27.873,31.3,86,100,3.06,overcast clouds,2022-04-14 02:59:51
445,Tra Vinh,VN,9.9347,106.3453,91.24,51,74,5.55,broken clouds,2022-04-14 02:59:51
446,Takhtamygda,RU,54.1,123.5667,40.24,29,100,7.0,overcast clouds,2022-04-14 02:59:52
447,Santander,ES,43.4647,-3.8044,53.31,93,75,1.01,broken clouds,2022-04-14 02:59:52
448,Phetchabun,TH,16.25,101.0833,84.47,42,38,7.11,scattered clouds,2022-04-14 02:59:53
449,Da Nang,VN,16.0678,108.2208,84.18,70,20,4.61,few clouds,2022-04-14 02:59:53
450,Santa Fe,AR,-31.6333,-60.7,58.01,82,0,2.64,light rain,2022-04-14 02:56:34
451,San Juan,AR,-31.5375,-68.5364,66.36,43,11,9.46,few clouds,2022-04-14 02:59:53
452,Manaure,CO,11.7751,-72.4445,78.87,75,11,17.11,few clouds,2022-04-14 02:59:54
453,Gelnica,SK,48.8558,20.9371,39.49,65,0,1.68,clear sky,2022-04-14 02:57:19
454,Dzhalka,RU,43.3186,45.9879,40.08,91,100,7.23,overcast clouds,2022-04-14 02:59:54
455,Derzhavinsk,KZ,51.1,66.3167,52.52,56,12,6.96,few clouds,2022-04-14 02:59:55
456,Shanhetun,CN,44.7,127.2,54.48,23,55,12.15,broken clouds,2022-04-14 02:59:55
457,Agropoli,IT,40.3469,14.9966,58.44,59,99,4.43,overcast clouds,2022-04-14 02:59:56
458,Paamiut,GL,61.994,-49.6678,26.96,89,100,21.12,overcast clouds,2022-04-14 02:59:56
459,Las Cruces,US,32.3123,-106.7783,63.61,4,0,19.57,clear sky,2022-04-14 02:59:56
460,Daokou,CN,35.5639,114.5058,58.6,49,100,15.52,light rain,2022-04-14 02:59:57
461,Plettenberg Bay,ZA,-34.0527,23.3716,63.05,91,100,8.01,overcast clouds,2022-04-14 02:59:57
462,Maltahohe,NA,-24.8333,16.9833,61.61,26,0,3.44,clear sky,2022-04-14 02:59:58
463,Santa Cruz,BO,-17.8,-63.1667,69.26,100,75,11.5,broken clouds,2022-04-14 02:54:58
464,Kabanjahe,ID,3.1001,98.4908,75.6,64,100,1.28,overcast clouds,2022-04-14 02:59:58
465,Samana,DO,19.2056,-69.3369,75.96,77,6,11.45,clear sky,2022-04-14 02:59:59
